Word	Count
sc	1
greatawakening	1
totally	1
constant	1
theaters	1
grabbers	1
criminals	1
offended	1
scpol	1
art	1
goin	1
cathartic	1
she’s	1
ndamendmentrights	1
shoulder	1
administrators	1
mindbodysoul	1
gates	1
texts	1
hidingunderhisdesk	1
horrible	1
kushner	1
hoping	1
treason	1
guards	1
credit	1
starvation/bombing	1
thirsty	1
bff	1
tremendously	1
passing	1
week's	1
comprehensive	1
hegemony	1
life’s	1
style	1
hudson	1
kashuv	1
defend	1
schoo	1
ryan's	1
yoder’s	1
arguing	1
pollard	1
prolife	1
death	1
marchforourrights	1
refute	1
south	1
ed	1
parenthood	1
underage	1
stock	1
gu	1
pursuing	1
smart	1
cityofangels	1
thoughtful	1
blood	1
boone	1
speech-free	1
grade	1
perceived	1
lovetrumpshate	1
info	1
denounce	1
banging	1
attempt	1
youtubehq	1
harsh	1
privacy	1
unbelievably	1
retirement	1
padma	1
disappointed	1
disrupting	1
stillwithyou	1
embrace	1
lineup	1
flickr	1
votes	1
ca	1
pace	1
thin-skinned	1
thegreatawakening	1
moral	1
marked	1
philadelphia's	1
lifelong	1
liv	1
song	1
tyranny	1
futures	1
bump	1
type	1
snow	1
outlets	1
dtom	1
shout-out	1
peoples	1
shut	1
rectify	1
ruby	1
stance	1
hour	1
visit	1
urgent	1
hot	1
libs	1
poise	1
votewiththeminnov	1
incompetent	1
zero-sum	1
jeffkasky	1
mlk’s	1
wayne	1
granny	1
legislators	1
landed	1
colleagues	1
ends	1
publicity	1
letter	1
gained	1
bragged	1
banautoassaultknives	1
muslim	1
hobbs	1
justin	1
patriot	1
extolling	1
soldiers	1
rigorous	1
picture	1
unroll	1
pup’s	1
ron	1
air	1
working	1
sponsored	1
ordinary	1
brought	1
mlk	1
maig	1
mandator	1
west	1
homage	1
arc	1
failures	1
treasonous	1
knives	1
finger	1
higher	1
vinegar	1
representative	1
columbia	1
added	1
internetbillofrights	1
discussion	1
obey	1
complains	1
wounds	1
advocacy	1
click	1
wakeupamerica	1
german	1
cyrus	1
blackstudents	1
persistent	1
comments	1
commitment	1
cnnprime	1
terrible	1
newtown	1
glom	1
speaker	1
traumatic	1
assa	1
olivia	1
ducey's	1
loans	1
reflect	1
honey	1
equal	1
legend	1
balls	1
xkgb	1
mexican	1
mentioned	1
tweet	1
wacko	1
sing	1
mulligans	1
influencing	1
pray	1
awakened	1
puts	1
agent	1
influential	1
feels	1
gotv	1
stood	1
programs	1
chump	1
hoggwash	1
butter	1
signsforourlives	1
transparent	1
btw	1
traitor	1
relocatetherace	1
sam	1
diego	1
quickly	1
meadow	1
flows	1
beto’s	1
trump-gop	1
operation	1
left’s	1
ranged	1
belief	1
tho	1
programs|national	1
w/your	1
melaniaknew	1
arms	1
standfortheirlives	1
selena	1
epic	1
falls	1
fierce	1
belong	1
scho	1
miley	1
expression	1
santorum/steve	1
possess	1
ep	1
mandatory	1
confident	1
trevor	1
gains	1
contr	1
homicide	1
apar	1
riseup	1
terrir(those	1
paintings	1
embraces	1
sick	1
believable	1
fb	1
ronald	1
battle	1
bus	1
entrepreneurshipstartup	1
go-fers	1
declare	1
thechi	1
mom's	1
nastyarybka	1
infiltrate	1
club	1
nervous	1
grow	1
paycheck	1
